place,post_label,person_name,party,image_url
,,Yaron Levi,Yesh Atid,static/mk_images/1_1127_3_20229.png
,,Yuli Edelstein,Likud,static/mk_images/1_1_3_4.jpeg
,,Hili Tropper,Resilience,static/mk_images/1_1000_3_11227.jpeg
,,Yitzhak Pindrus,Degel HaTorah,static/mk_images/1_1001_3_11229.jpeg
,,May Golan,Likud,static/mk_images/1_1002_3_12304.jpeg
,,Michael Biton,Resilience,static/mk_images/1_1003_3_11237.jpeg
,,Michal Shir,Yesh Atid,static/mk_images/1_1004_3_12334.jpeg
,,Meirav Cohen,Yesh Atid,static/mk_images/1_1006_3_11251.jpeg
,,Mansour Abbas,United Arab List,static/mk_images/1_1007_3_12320.jpeg
,,Moshe Arbel,Shas,static/mk_images/1_1008_3_11235.jpeg
,,Idan Roll,Independent,static/mk_images/1_1009_3_12328.jpeg
,,Shlomo Karhi,Likud,static/mk_images/1_1011_3_12326.jpeg
,,Ofer Cassif,Hadash,static/mk_images/1_1013_3_12312.jpeg
,,Keti Shitrit,Likud,static/mk_images/1_1018_3_12330.jpeg
,,Ram Ben-Barak,Yesh Atid,static/mk_images/1_1022_3_11242.jpeg
,,Walid Taha,United Arab List,static/mk_images/1_1026_3_13539.jpeg
,,Moshe Abutbul,Shas,static/mk_images/1_1029_3_13527.jpeg
,,Matan Kahana,Resilience,static/mk_images/1_1030_3_13542.jpeg
,,Iman Khatib-Yasin,United Arab List,static/mk_images/1_1032_3_13745.jpeg
,,Uriel Buso,Shas,static/mk_images/1_1039_3_15050.jpeg
,,Yosef Taieb,Shas,static/mk_images/1_1043_3_15131.jpeg
,,Amit Halevi,Likud,static/mk_images/1_1044_3_16220.jpeg
,,Nissim Vaturi,Likud,static/mk_images/1_1045_3_16502.jpeg
,,Vladimir Beliak,Yesh Atid,static/mk_images/1_1049_3_16601.jpeg
,,Moshe Tur-Paz,Yesh Atid,static/mk_images/1_1050_3_16606.jpeg
,,Itamar Ben-Gvir,Otzma Yehudit,static/mk_images/1_1056_3_17788.jpeg
,,Galit Distel-Atbaryan,Likud,static/mk_images/1_1059_3_17778.jpeg
,,Michal Waldiger,Mafdal - Religious Zionism,static/mk_images/1_1060_3_17793.jpeg
,,Ron Katz,Yesh Atid,static/mk_images/1_1061_3_17813.jpeg
