place,post_label,person_name,party,image_url
Alborz_province_1,,Ali Shirinzad,Independent,
Alborz_province_2,,Alireza Abbasi,Principlist,
Alborz_province_3,,Ali Haddadi,Principlist,
Ardabil_province_1,,Vahid Kanani,Independent,
Ardabil_province_2,,Ali Nikzad,Principlist,
Ardabil_province_3,,Ahad Biote,Principlist,
Ardabil_province_4,,Sadeif Badri,Principlist,
Ardabil_province_5,,Ebrahim Fahimi,Independent,
Ardabil_province_6,,Mohammad Khosh Sima,Independent,
Ardabil_province_7,,Babak Rezazadeh,Independent,
Armenians_north,,Ara Shaverdian,Independent,
Armenians_south,,Gaghard Mansourian,Independent,
Assyrian_people,,Sharli Envieh Takie,Independent,
Bushehr_province_1,,Jafar Pour kabkani,Principlist,
Bushehr_province_2,,Gholamhossein Zarei,Principlist,
Bushehr_province_3,,Ebrahim Rezaei,Principlist,
Bushehr_province_4,,Mousa Ahmadi,Principlist,
Chaharmahal_and_Bakhtiari_province_1,,Ahmad Rastineh Hafashjani,Principlist,
Chaharmahal_and_Bakhtiari_province_2,,Hamidreza Azizi,Principlist,
Chaharmahal_and_Bakhtiari_province_3,,Gholamreza Mirzaei,Principlist,
Chaharmahal_and_Bakhtiari_province_4,,Seyyed Ruhollah Mousavi,Principlist,
East_Azerbaijan_province_1,,Masoud Pezeshkian,Reformists,
East_Azerbaijan_province_2,,Ali Jafari Azar,Principlists,
East_Azerbaijan_province_3,,Ruhollah Motefaker Azad,Principlists,
East_Azerbaijan_province_4,,Reza Seddiqi,Principlists,
East_Azerbaijan_province_5,,Alireza Novin,Principlists,
East_Azerbaijan_province_6,,Alireza Monadi,Principlists,
East_Azerbaijan_province_7,,Farid Mousavi,Reformists,
East_Azerbaijan_province_8,,Ezzatullah Habibzadeh,Independent,
East_Azerbaijan_province_9,,Mehdi Esmaeili,Principlists,
East_Azerbaijan_province_10,,Maryam Abdulahi,Independent,
East_Azerbaijan_province_11,,Majid Basirpour,Reformists,
East_Azerbaijan_province_12,,Mohammad Bagheri,Independent,
East_Azerbaijan_province_13,,Mahmoud Taheri,Independent,
East_Azerbaijan_province_14,,Zahra Khoddadi,Independent,
East_Azerbaijan_province_15,,Baitullah Abdullahi,Reformists,
East_Azerbaijan_province_16,,Behnam Rezvani,Independent,
East_Azerbaijan_province_17,,Gholamreza Nouri-Ghezeljeh,Independent,
East_Azerbaijan_province_18,,Faramarz Shahsaviri,Independent,
East_Azerbaijan_province_19,,Reza Alizadeh,Principlists,
Fars_province_1,,Ismail Hosseini,Principlist,
Fars_province_2,,Rouhollah Nejabat,Principlist,
Fars_province_3,,Ja'far Ghaderi,Principlist,
Fars_province_4,,Ebrahim Azizi,Principlist,
Fars_province_5,,Rahim Zarei,Principlist,
Fars_province_6,,Farhad Tahmasebi,Principlist,
Fars_province_7,,Moslem Salehi,Principlist,
Fars_province_8,,Mohammad Reza Rezaei Kouchi,Principlist,
Fars_province_9,,Mohammad Javad Asgari,Principlist,
Fars_province_10,,Ardwan Akbarpour,Independent,
Fars_province_11,,Gholamreza Tawakkul,Principlist,
Fars_province_12,,Hassan Ali Mohammadi,Principlist,
Fars_province_13,,Mohammad Mehdi Farvardin,Principlist,
Fars_province_14,,Gholamreza Dehghan Naserabadi,Principlist,
Fars_province_15,,Alaeddin Boroujerdi,Principlist,
Fars_province_16,,Seyyed Mousa Mousavi,Principlist,
Fars_province_17,,Esfandiar Abdulahi,Independent,
Fars_province_18,,Omid Nasibi,Principlist,
Gilan_province_1,,Jabbar Kouchakinejad Eram sadati,Principlist,
Gilan_province_2,,Mahdi Falah,Principlist,
Gilan_province_3,,Mohammadreza Ahmadi Sangari,Principlist,
Gilan_province_4,,Vali Dadashi,Independent,
Gilan_province_5,,Ibrahim Najafi,Principlist,
Gilan_province_6,,Ahmad Donyamali,Reformists,
Gilan_province_7,,Mehrdad Godarzvand Chegini,Independent,
Gilan_province_8,,Mohammad Ali Jani,Independent,
Gilan_province_9,,Saeed Rahmatzadeh,Principlist,
Gilan_province_10,,Yasser Islamdoost,Principlist,
Gilan_province_11,,Seyed Karim Masoumi,Principlist,
Gilan_province_12,,Salman Zare,Principlist,
Gilan_province_13,,Mehrdad Lahoti,Reformists,
Golestan_province_1,,Ramezan ali Sangdoueini,Principlist,
Golestan_province_2,,Abdul Ghafoor Amanzadeh,,
Golestan_province_3,,Jamshid Qaim Maqam,,
Golestan_province_4,,Rahmatollah Nourouzi,Principlist,
Golestan_province_5,,Abdoljalal Eiri,Principlist,
Golestan_province_6,,Abdul Hakim Aq Arkakli,,
Golestan_province_7,,Seyyed Najib Hosseini,Principlist,
Hamadan_province_1,,Hamid-Reza Haji Babaee,Principlist,
Hamadan_province_2,,Abbas Sufi,Independent,
Hamadan_province_3,,Ali Akbar Ranjbarzadeh,Principlist,
Hamadan_province_4,,Fathullah Tavasuli,Independent,
Hamadan_province_5,,Mohammad Mehdi Mofatteh,Principlist,
Hamadan_province_6,,Seyyed Abulhasan Mostafavi Ghamam,Principlist,
Hamadan_province_7,,Ahad Azadikhah,Principlist,
Hamadan_province_8,,Ahmed Aryainejad,Principlist,
Hamadan_province_9,,Alireza Nethari,Independent,
Hormozgan_province_1,,Fatemeh Jarareh,Principlist,
Hormozgan_province_2,,Ahmad Moradi,Reformists,
Hormozgan_province_3,,Mohammad Ashouri Taziani,Principlist,
Hormozgan_province_4,,Ahmad Jabbari,Principlist,
Hormozgan_province_5,,Seyyed Abdul Karim Hashemi Nakhel Ebrahimi,Principlist,
Ilam_province_1,,Fereydon Hemati,Independent,
Ilam_province_2,,Sara Falahi,Reformists,
Ilam_province_3,,Asadullah Cheraghi,Principlist,
Isfahan_province_1,,Mohammad Taghi Naghd Ali,Principlist,
Isfahan_province_2,,Rahim Karimi,,
Isfahan_province_3,,Habib Ghasemi,Principlist,
Isfahan_province_4,,Ismail Siavashi,Principlist,
Isfahan_province_5,,Ramezan Rahimi,Principlist,
Isfahan_province_6,,Mustafa Moini,Principlist,
Isfahan_province_7,,Seyyed Masoud Khatami,Principlist,
Isfahan_province_8,,Akbar Poladi Baghbadrani,,
Isfahan_province_9,,Zahra Saidi,Independent,
Isfahan_province_10,,Elham Azad,Independent,
Isfahan_province_11,,Abolfazl Aboutorabi,Principlist,
Isfahan_province_12,,Hossein Abdoli,Principlist,
Isfahan_province_13,,Amir Hossein Bankipour Fard,Principlist,
Isfahan_province_14,,Abbas Moghtadaei Khourasgani,Principlist,
